title,brand,mpn,upc,product_type,primary_category,smart_home_ecosystem,brand_tier,condition,condition_score,price,wasPrice,discount_pct,savings_usd,has_discount,price_tier,log_price,price_per_channel,sold,available,sell_through_rate,demand_tier,revenue_proxy_usd,log_sold,log_revenue_proxy,sqrt_available,resolution_class,has_night_vision,has_color_night,has_wide_angle,has_solar_power,is_battery_powered,is_wired,has_wifi,has_poe,has_cellular_4g5g,has_pan_tilt_zoom,has_motion_detect,has_ai_detection,has_two_way_audio,has_voice_control,has_floodlight,has_local_storage,has_cloud_storage,is_doorbell_camera,is_outdoor,is_indoor,is_nvr_dvr_system,is_complete_system,is_refurb_product,channel_count,pack_quantity,tech_richness_score,commercial_value_score,seller,seller_city,seller_state,seller_country,ships_to_count,excluded_country_count,global_reach_score,is_us_only_shipping,days_since_update,listing_freshness_score
Solar Camera 4MP Wireless Outdoor Solar Battery Security Camera WiFi Smart Home,Woolink/Xvim,US-N1060WH-XM4MP,,Camera,Security Cameras,Other/Generic,Other Brand,New,5,139.99,,0.0,0.0,0,Mid-Range ($75–$200),4.948689,,100.0,5.0,0.9524,Medium Demand,13999.0,4.615121,9.546813,2.2361,4MP,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,,1,2,67.95,Seller_33,Rockaway,NJ,United States,162,59,0.733,0,2.0,99.5
"HIK DS-1280ZJ-DM21, CB135, Junction Box Bracket For DS-2CD2347G1-LU Dome camera",Caliwiretech,"DS-1280ZJ-DM21, CB140PT, CB135",,Mount/Bracket,Security Camera Brackets & Mounts,Other/Generic,Other Brand,New,5,11.99,,0.0,0.0,0,Budget (<$25),2.56418,,45.0,10.0,0.8182,Medium Demand,539.55,3.828641,6.292587,3.1623,Unknown,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1,0,60.99,Seller_34,Riverside,CA,United States,170,11,0.9392,0,21.0,94.2
DC Power Pigtail Cable Plug 18AWG 2.1mm x 5.5mm 12V 5A Female Connector Pack Lot,Satmaximum,530119,,Dc Power Connector,Accessories,Other/Generic,Other Brand,New,5,99.89,,0.0,0.0,0,Mid-Range ($75–$200),4.614031,,176.0,10.0,0.9462,High Demand,17580.64,5.17615,9.77461,3.1623,Unknown,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,,1,0,56.27,Seller_7,Deer Park,New York,United States,208,11,0.9498,0,141.0,61.4
ZOSI 12V 2A Power Supply Adapter DC 1 to 4 Way Power Splitter Cable for Cameras,Zosi,AC-2AT4-US,,Adapter And Splitter Cable,Accessories,Other/Generic,Other Brand,New,5,12.99,,0.0,0.0,0,Budget (<$25),2.638343,,785.0,10.0,0.9874,High Demand,10197.15,6.666957,9.229962,3.1623,Unknown,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1,0,69.26,Seller_35,Walton,Kentucky,United States,1,20,0.0476,1,3.0,99.2
ANNKE 8CH H.265+ 8MP NVR 5MP Color POE IP Security Camera System Audio CCTV AI,Annke,N98PBL0-54EM,,Turret Ip Camera,IP/Smart Camera Systems,Other/Generic,Other Brand,New,5,205.39,,0.0,0.0,0,Premium ($200–$500),5.329768,25.67,544.0,100.0,0.8447,High Demand,111732.16,6.300786,11.623869,10.0,8MP,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,8.0,1,1,63.31,Seller_29,Flanders,NJ,United States,161,61,0.7252,0,6.0,98.4
HTZSAFE Owl Home Security Wireless Driveway Alarm 1 Receiver + 2 Sensors,Htzsafe,,,Driveway Alarm,Sensors & Motion Detectors,Other/Generic,Other Brand,New,5,49.99,,0.0,0.0,0,Value ($25–$75),3.93163,,205.0,45.0,0.82,High Demand,10247.95,5.327876,9.234931,6.7082,Unknown,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1,1,60.91,Seller_36,Houston,TX,United States,168,18,0.9032,0,23.0,93.7
"8PCS 3MP HD Cameras ,Wireless WiFi Security Camera systen 10CH NVR+3TB harddrive",Smartsf,,6901425854312,Nvr Indoor Outdoor Ip Camera Kit,IP/Smart Camera Systems,Other/Generic,Other Brand,New,5,229.49,,0.0,0.0,0,Premium ($200–$500),5.440207,22.95,,5.0,0.0,No Sales Data,0.0,0.0,0.0,2.2361,3MP,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,10.0,8,2,28.02,Seller_37,Chino,CA,United States,161,50,0.763,0,24.0,93.4
Luma LUM-501-DVR-8CH 1TB 8 Channel Digital Video Recorder n371,Luma,,,(Digital Video Recorder),Surveillance Dvrs & Nvrs,Other/Generic,Other Brand,Used,2,85.0,,0.0,0.0,0,Mid-Range ($75–$200),4.454347,10.62,,,,No Sales Data,0.0,0.0,0.0,0.0,Unknown,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,8.0,1,1,5.76,Seller_38,Sherman Oaks,California,United States,46,11,0.807,0,295.0,19.2
eufy Security Smart Wireless System w/Alexa 1080P Battery Camera eufyCam 2C Kit,Eufy,AKT88301D1,,Complete System,IP/Smart Camera Systems,Eufy (Anker),Premium Consumer,New,5,149.99,,0.0,0.0,0,Mid-Range ($75–$200),5.017214,,185.0,10.0,0.9487,High Demand,27748.15,5.225747,10.23096,3.1623,1080P,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,,1,2,67.8,Seller_11,Ontario,CA,United States,147,39,0.7903,0,2.0,99.5
4PCS 4MP Bullet Security Camera 4CH POE NVR Outdoor System One-Way Audio NO HDD,Unknown,,,Bullet Ip Camera,IP/Smart Camera Systems,Other/Generic,Generic/Unknown,New,5,69.99,111.1,37.0,41.11,1,Value ($25–$75),4.262539,17.5,11.0,2.0,0.8462,Medium Demand,769.89,2.484907,6.647546,1.4142,4MP,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,1,0,1,1,0,4.0,4,1,74.8,Seller_39,Houston,Texas,United States,1,28,0.0345,1,2.0,99.5
