title,brand,mpn,upc,product_type,primary_category,smart_home_ecosystem,brand_tier,condition,condition_score,price,wasPrice,discount_pct,savings_usd,has_discount,price_tier,log_price,price_per_channel,sold,available,sell_through_rate,demand_tier,revenue_proxy_usd,log_sold,log_revenue_proxy,sqrt_available,resolution_class,has_night_vision,has_color_night,has_wide_angle,has_solar_power,is_battery_powered,is_wired,has_wifi,has_poe,has_cellular_4g5g,has_pan_tilt_zoom,has_motion_detect,has_ai_detection,has_two_way_audio,has_voice_control,has_floodlight,has_local_storage,has_cloud_storage,is_doorbell_camera,is_outdoor,is_indoor,is_nvr_dvr_system,is_complete_system,is_refurb_product,channel_count,pack_quantity,tech_richness_score,commercial_value_score,seller,seller_city,seller_state,seller_country,ships_to_count,excluded_country_count,global_reach_score,is_us_only_shipping,days_since_update,listing_freshness_score
"Wifi Smart Water Valve and Auto Shut-Off, Automation Scene Works with Leak Detec",Unknown,,313101250237,Other,Sensors & Motion Detectors,Other/Generic,Generic/Unknown,New,5,286.28,,0.0,0.0,0,Premium ($200–$500),5.660457,,1.0,1.0,0.5,Low Demand,286.28,0.693147,5.660457,1.0,Unknown,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1,1,49.19,Seller_140,Dallas,TX,United States,162,20,0.8901,0,10.0,97.3
Mobotix MX-OPT-RS1-EXT Weatherproof RS232 I/O Interface Box NEW OPEN BOX,Mobotix,MX-OPT-RS1-EXT,,Interface,Uncategorized,Other/Generic,Other Brand,Open Box,4,149.0,,0.0,0.0,0,Mid-Range ($75–$200),5.010635,,,,,No Sales Data,0.0,0.0,0.0,0.0,Unknown,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,,1,0,0.0,Seller_66,Glen Cove,NY,United States,168,11,0.9385,0,,
Hoovy Easy To Install Baby Car Camera Monitor with HD Real Time,Hoovy,93146854,850001215428,Baby Monitors,Security Cameras,Other/Generic,Other Brand,New,5,20.99,49.99,58.01,29.0,1,Budget (<$25),3.090588,,51.0,10.0,0.8361,Medium Demand,1070.49,3.951244,6.976805,3.1623,720P,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1,0,80.7,Seller_141,Franklin,IN,United States,162,49,0.7678,0,2.0,99.5
ANNKE 8CH DVR 5MP Audio Security Camera System H.265+ AI Detection Color Night,Annke,AU-DW81KN0-R4CW,,Turret Camera,IP/Smart Camera Systems,Other/Generic,Other Brand,New,5,153.99,219.99,30.0,66.0,1,Mid-Range ($75–$200),5.043361,19.25,22.0,10.0,0.6875,Medium Demand,3387.78,3.135494,8.128225,3.1623,5MP,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,1,1,0,8.0,1,4,66.35,Seller_14,Flanders,NJ,United States,161,61,0.7252,0,2.0,99.5
ANNKE 8CH 5MP Lite DVR 1080P CCTV Security Camera System AI Color Night Vision,Annke,AU-DW81KN-51EP,,Bullet Camera,IP/Smart Camera Systems,Other/Generic,Other Brand,New,5,67.19,79.99,16.0,12.8,1,Value ($25–$75),4.222298,8.4,308.0,10.0,0.9686,High Demand,20694.52,5.733341,9.937673,3.1623,5MP,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,8.0,1,3,70.51,Seller_117,Flanders,NJ,United States,161,61,0.7252,0,37.0,89.9
ANNKE 8CH 6MP NVR 5MP Two Way Audio PoE Security Camera System Outdoor Color AI,Annke,N98PBL-51HJ,,Turret Camera,IP/Smart Camera Systems,Other/Generic,Other Brand,New,5,135.97,,0.0,0.0,0,Mid-Range ($75–$200),4.919762,17.0,67.0,100.0,0.4012,Medium Demand,9109.99,4.219508,9.117237,10.0,5MP,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,1,0,1,1,0,8.0,1,2,45.81,Seller_29,Flanders,NJ,United States,161,61,0.7252,0,3.0,99.2
Ring Alarm Keypad 1st Gen,Ring,,842861101560,Keypad,Accessories,Ring (Amazon),Premium Consumer,New,5,29.0,,0.0,0.0,0,Value ($25–$75),3.401197,,7.0,10.0,0.4118,Low Demand,203.0,2.079442,5.31812,3.1623,Unknown,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1,0,16.47,Seller_142,Miami,FL,United States,169,11,0.9389,0,,
ANNKE 12MP 16CH 8CH NVR 4K Audio PoE Security Camera System Color Night AI IP67,Annke,N48PAW/N46PCK-91DM,,Turret Camera,IP/Smart Camera Systems,Other/Generic,Other Brand,New,5,275.59,,0.0,0.0,0,Premium ($200–$500),5.622536,17.22,128.0,20.0,0.8649,Medium Demand,35275.52,4.859812,10.470973,4.4721,4K,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,1,0,1,1,0,16.0,1,3,64.45,Seller_29,Flanders,NJ,United States,161,61,0.7252,0,2.0,99.5
"BNC Male to BNC Male RG59 Coax Gold Connector Cord Cable, 3 Ft, 6 Ft, 12Ft 25 Ft",Unknown,,,Rg-59/U Cable,Accessories,Other/Generic,Generic/Unknown,New,5,7.95,,0.0,0.0,0,Budget (<$25),2.191654,,2282.0,10.0,0.9956,Viral (Top 5%),18141.9,7.733246,9.806035,3.1623,Unknown,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1,0,68.74,Seller_143,San Marcos,CA,United States,208,11,0.9498,0,13.0,96.4
"3FT Magnetic Charging Cable & Power Plug for Arlo Ultra, 2, Pro 3/4 Pro 5s",Unknown,,,Plastic,Accessories,Arlo,Generic/Unknown,New,5,13.49,,0.0,0.0,0,Budget (<$25),2.673459,,180.0,10.0,0.9474,High Demand,2428.2,5.198497,7.795317,3.1623,Unknown,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1,0,61.15,Seller_144,Dallas,TX,United States,170,11,0.9392,0,82.0,77.5
Reolink RLC-510A 5MP PoE Security Camera Outdoor Human/Vehicle Detection 4PCS,Reolink,,,Bullet Camera,Security Cameras,Reolink,Prosumer,New,5,209.99,,0.0,0.0,0,Premium ($200–$500),5.351811,,46.0,20.0,0.697,Medium Demand,9659.54,3.850148,9.175805,4.4721,5MP,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,,4,1,57.73,Seller_3,Houston,Texas,United States,1,28,0.0345,1,2.0,99.5
Hiseeu 2K Solar Battery Powered Wireless WIFI Security Camera System Outdoor lot,Hiseeu,,,Charger Camera,Cctv Systems,Other/Generic,Other Brand,New,5,36.99,,0.0,0.0,0,Value ($25–$75),3.637323,,12.0,10.0,0.5455,Medium Demand,443.88,2.564949,6.097805,3.1623,2K/2MP,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,,1,2,51.67,Seller_55,Annapolis Junction,Maryland,United States,1,28,0.0345,1,2.0,99.5
2 Pack Ring Alarm Smoke & Co Listener 9863B-BHASL001,Amazon,9863B-BHASL001,,Listener,Sensors & Motion Detectors,Ring (Amazon),Other Brand,Open Box,4,35.0,,0.0,0.0,0,Value ($25–$75),3.583519,,116.0,10.0,0.9206,Medium Demand,4060.0,4.762174,8.309185,3.1623,Unknown,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,,2,0,65.26,Seller_145,Clifton,NJ,United States,168,17,0.9081,0,19.0,94.8
Chamberlain myQ Outdoor Battery Camera 2K Color Night Vision Spotlight NEW,Chamberlain,MYQ-C39VXXW,012381230310,Camera,Security Cameras,Other/Generic,Other Brand,New,5,49.5,,0.0,0.0,0,Value ($25–$75),3.921973,,9.0,1.0,0.9,Low Demand,445.5,2.302585,6.101439,1.0,2K/2MP,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,,1,2,65.19,Seller_146,Effort,PA,United States,168,11,0.9385,0,10.0,97.3
12V 5A Power Supply for CCTV Security Camera DVR Swann Lorex Defender 8 Split CG,Unbranded/Generic,,,Cctv Security Camera Dvr Power Supply,Accessories,Lorex,Other Brand,New,5,11.99,,0.0,0.0,0,Budget (<$25),2.56418,,4106.0,10.0,0.9976,Viral (Top 5%),49230.94,8.320448,10.804298,3.1623,Unknown,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,,1,1,69.75,Seller_147,Ontario,California,United States,1,57,0.0172,1,2.0,99.5
Wired Surface Mounted NC Magnetic Door Window Contact Sensor Alarm Switch 5 Pack,Unknown,,711181021455,Other,Sensors & Motion Detectors,Other/Generic,Generic/Unknown,New,5,9.79,,0.0,0.0,0,Budget (<$25),2.37862,,58.0,5.0,0.9206,Medium Demand,567.82,4.077537,6.343564,2.2361,Unknown,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,,5,0,66.49,Seller_148,Miami,Florida,United States,1,15,0.0625,1,4.0,98.9
1/4Pack Ring V4 Battery for Ring camera Doorbell Solar Floodligh 2/3/4/3 plus,Unknown,"V4, 5AT3S3, 5F53E9",,Video Doorbell Camera Battery,Security Cameras,Ring (Amazon),Generic/Unknown,New,5,99.99,,0.0,0.0,0,Mid-Range ($75–$200),4.615022,,1.0,10.0,0.0909,Low Demand,99.99,0.693147,4.615022,3.1623,Unknown,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,,4,1,33.4,Seller_149,Ontario,California,United States,2,13,0.1333,0,3.0,99.2
Digital Video Recorder Standalone DVR,Unknown,,,Camera,Surveillance Dvrs & Nvrs,Other/Generic,Generic/Unknown,Used,2,170.0,,0.0,0.0,0,Mid-Range ($75–$200),5.141664,,,,,No Sales Data,0.0,0.0,0.0,0.0,Unknown,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,,1,1,0.0,Seller_150,Sarasota,Florida,United States,1,11,0.0833,1,,
Reolink 16CH NVR Network Video Recorder for Security Camera System with 4TB HDD,Reolink,,,NVR,IP/Smart Camera Systems,Reolink,Prosumer,Certified Refurbished,3,239.99,399.99,40.0,160.0,1,Premium ($200–$500),5.484755,15.0,131.0,19.0,0.8733,Medium Demand,31438.69,4.882802,10.355826,4.3589,Unknown,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,16.0,1,1,76.78,Seller_3,Houston,Texas,United States,1,28,0.0345,1,2.0,99.5
GOOGLE GRJ15 Wired Nest Cam Outdoor 2K 2nd Gen Snow,Unknown,,,Other,Uncategorized,Google Nest,Generic/Unknown,New,5,79.99,,0.0,0.0,0,Mid-Range ($75–$200),4.394326,,12.0,22.0,0.3529,Medium Demand,959.88,2.564949,6.86785,4.6904,2K/2MP,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,,1,0,14.12,Seller_151,,,,0,0,,0,,
"Ring Floodlight Cam Pro Wired 2nd Gen Retinal 4K - White , New + Sealed",Unknown,,,Other,Uncategorized,Ring (Amazon),Generic/Unknown,New,5,178.0,,0.0,0.0,0,Mid-Range ($75–$200),5.187386,,2.0,10.0,0.1667,Low Demand,356.0,1.098612,5.877736,3.1623,4K,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,1,0,6.67,Seller_21,,,,0,0,,0,,
SANNCE 8CH 8MP NVR 4K HD POE IP Home Video Recorder for Security Camera System,Sannce,SU-N98PBD000-OP,,Video Recorder,IP/Smart Camera Systems,Other/Generic,Other Brand,New,5,323.99,,0.0,0.0,0,Premium ($200–$500),5.783794,40.5,155.0,100.0,0.6078,Medium Demand,50218.45,5.049856,10.824158,10.0,4K,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,8.0,1,1,54.16,Seller_29,Flanders,NJ,United States,162,60,0.7297,0,2.0,99.5
"2 Pack Genuine Battery A-1 for Arlo Pro , Pro 2 VMA4400 VCS4500C VMS4230 Camera",Unknown,"308-10029-01, A-1b, A-1C",,Battery,Accessories,Arlo,Generic/Unknown,New,5,41.99,,0.0,0.0,0,Value ($25–$75),3.760968,,65.0,10.0,0.8667,Medium Demand,2729.35,4.189655,7.912185,3.1623,Unknown,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,,2,0,64.34,Seller_15,Perth Amboy,New Jersey,United States,1,65,0.0152,1,4.0,98.9
ZOSI H.265+ 8CH/16CH DVR for Security Camera System 1080P Recorder with HDD,Zosi,,,DVR,Surveillance Dvrs & Nvrs,Other/Generic,Other Brand,New,5,69.99,87.49,20.0,17.5,1,Value ($25–$75),4.262539,8.75,103.0,10.0,0.9115,Medium Demand,7208.97,4.644391,8.88322,3.1623,1080P,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,8.0,1,1,72.31,Seller_35,Walton,Kentucky,United States,1,20,0.0476,1,2.0,99.5
SANNCE 1080P 4CH 8CH 5IN1 DVR Home Security Camera System Outdoor Night Vision,Sannce,DT81BC-51EE,,Camera,IP/Smart Camera Systems,Other/Generic,Other Brand,New,5,58.49,,0.0,0.0,0,Value ($25–$75),4.085808,14.62,595.0,100.0,0.8561,High Demand,34801.55,6.390241,10.457446,10.0,1080P,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,1,0,4.0,1,2,63.91,Seller_29,Flanders,NJ,United States,161,61,0.7252,0,4.0,98.9
Blink Sync Module XR Hub for All Blink Devices 400ft for Outdoor 4 Camera,Blink,,840268907754,Sync Module,Security Cameras,Blink (Amazon),Premium Consumer,Open Box,4,49.99,,0.0,0.0,0,Value ($25–$75),3.93163,,,5.0,0.0,No Sales Data,0.0,0.0,0.0,2.2361,Unknown,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,,1,0,0.0,Seller_152,Miami,FL,United States,162,53,0.7535,0,,
2x Dummy Security Camera Fake LEDs Flashing Light Home Surveillance Waterproof,Jytrend,,610098787006,Dummy Camera,Dummy Cameras,Other/Generic,Other Brand,New,5,16.96,19.95,14.99,2.99,1,Budget (<$25),2.888147,,6027.0,10.0,0.9983,Viral (Top 5%),102217.92,8.704171,11.534872,3.1623,Unknown,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,,1,0,73.68,Seller_153,Walnut,CA,United States,168,28,0.8571,0,9.0,97.5
"Lorex D841A82B 4K 8Ch Analog Ultra HD DVR 1 HDD 2TB with Smart Home Voice, Black",Lorex,D841A82B-W,695529021133,DVR,Uncategorized,Lorex,Prosumer,New,5,399.99,,0.0,0.0,0,Premium ($200–$500),5.993936,50.0,36.0,19.0,0.6545,Medium Demand,14399.64,3.610918,9.575028,4.3589,4K,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,8.0,1,1,56.03,Seller_1,Carrollton,TX,United States,168,13,0.9282,0,2.0,99.5
ANNKE 60/100ft CCTV BNC Extension Wire Cord Security Camera Video DC Power Cable,Annke,XCLCable,,Power&Video Cable,Accessories,Other/Generic,Other Brand,New,5,11.99,,0.0,0.0,0,Budget (<$25),2.56418,,1011.0,10.0,0.9902,High Demand,12121.89,6.919684,9.402851,3.1623,Unknown,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1,0,69.37,Seller_117,Hebron,KY,United States,162,60,0.7297,0,3.0,99.2
2 Pack Rechargeable Battery Pack &Charging Station for Ring Video Doorbell 2 3 4,Kratax,HIXPOW-K-J743-US,,Ring Video Doorbell Replacement Battery,Security Cameras,Ring (Amazon),Other Brand,New,5,53.47,,0.0,0.0,0,Value ($25–$75),3.99765,,39.0,10.0,0.7959,Medium Demand,2085.33,3.688879,7.643162,3.1623,Unknown,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,,2,0,46.06,Seller_154,Los Angeles,California,United States,1,14,0.0667,1,192.0,47.4
Digital Watchdog DW-VA1P4 4 Channel HD-AHD/TVI Universal HD over Coax DVR,Digital Watchdog,DW-VA1P4,,Surveillance Dvrs & Nvrs,Surveillance Dvrs & Nvrs,Other/Generic,Other Brand,Used,2,109.97,,0.0,0.0,0,Mid-Range ($75–$200),4.70926,27.49,,,,No Sales Data,0.0,0.0,0.0,0.0,720P,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,4.0,1,1,29.1,Seller_155,Cary,NC,United States,168,11,0.9385,0,11.0,97.0
SANNCE 4IN1 HD 1080P Video Outdoor CCTV Security Camera 100ft EXIR Night Vision,Sannce,SN-C51EU0103-V1,,Bullet Camera,Security Cameras,Other/Generic,Other Brand,New,5,16.79,,0.0,0.0,0,Budget (<$25),2.878637,,4350.0,10.0,0.9977,Viral (Top 5%),73036.5,8.378161,11.198728,3.1623,1080P,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,,1,1,69.1,Seller_117,Flanders,NJ,United States,162,60,0.7297,0,10.0,97.3
eufy eufyCam 3 Wireless 4K Solar Powered Security Camera System 5-Cam Kit|Refurb,Eufy,AKE8874,194644037260,Complete System,Uncategorized,Eufy (Anker),Premium Consumer,Certified Refurbished,3,419.99,859.99,51.16,440.0,1,Premium ($200–$500),6.042609,,726.0,89.0,0.8908,High Demand,304912.74,6.588926,12.627784,9.434,4K,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,,1,2,80.83,Seller_4,Ontario,CA,United States,162,23,0.8757,0,2.0,99.5
Micro SDXC Class 10 TF Memory Card for Reolink Security Camera 64/128/256GB,Reolink,,,Accessories,Accessories,Reolink,Prosumer,New,5,27.99,,0.0,0.0,0,Value ($25–$75),3.366951,,12.0,10.0,0.5455,Medium Demand,335.88,2.564949,5.819727,3.1623,Unknown,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,,1,1,51.58,Seller_3,Houston,Texas,United States,1,28,0.0345,1,3.0,99.2
IC Realtime NVR‑MX16POE‑1U4K1 used,Ic Realtime,,,Recorder,Surveillance Dvrs & Nvrs,Other/Generic,Other Brand,Used,2,300.0,,0.0,0.0,0,Premium ($200–$500),5.70711,,,,,No Sales Data,0.0,0.0,0.0,0.0,Unknown,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,,1,1,0.0,Seller_156,Denver,CO,United States,168,11,0.9385,0,,
Reolink 5MP PoE Security Camera System 8CH 2TB HDD NVR 24/7 Video Recording,Reolink,,725423889475,Complete System,IP/Smart Camera Systems,Reolink,Prosumer,New,5,439.99,,0.0,0.0,0,Premium ($200–$500),6.089022,55.0,13.0,30.0,0.3023,Medium Demand,5719.87,2.639057,8.651876,5.4772,5MP,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,8.0,1,1,41.94,Seller_3,Houston,Texas,United States,1,28,0.0345,1,2.0,99.5
Ring Pro Power Kit V2 (2 units) – New & Unused – $8 per 2 units – 100+ Available,Ring,,,Power Kit,Security Cameras,Ring (Amazon),Premium Consumer,New,5,7.95,,0.0,0.0,0,Budget (<$25),2.191654,,367.0,10.0,0.9735,High Demand,2917.65,5.908083,7.978876,3.1623,Unknown,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,,1,0,68.46,Seller_105,Southampton,PA,United States,168,11,0.9385,0,6.0,98.4
eufy PoE NVR Security System S4 Max 8CH 16MP Triple Lens Camera 360°PTZ |Refurb,Eufy,AKT8E00,194644305604,Complete System,IP/Smart Camera Systems,Eufy (Anker),Premium Consumer,Certified Refurbished,3,1019.99,1499.99,32.0,480.0,1,High-End ($500–$1.5K),6.928528,127.5,32.0,137.0,0.1893,Medium Demand,32639.68,3.496508,10.393315,11.7047,Unknown,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,1,1,1,8.0,1,2,47.02,Seller_4,Ontario,California,United States,38,36,0.5135,0,2.0,99.5
Blink Outdoor 2K+ Wireless Smart Security Camera System (5 Cameras) Sync Module,Blink,,,Camera,Security Cameras,Blink (Amazon),Premium Consumer,New,5,189.99,,0.0,0.0,0,Mid-Range ($75–$200),5.252221,,19.0,10.0,0.6552,Medium Demand,3609.81,2.995732,8.191687,3.1623,2K/2MP,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,,1,1,55.64,Seller_157,Las Vegas,NV,United States,168,11,0.9385,0,7.0,98.1
eufy Security SoloCam S340 Solar Wireless Outdoor Camera 4-Cam Kit 360° Pan WiFI,Eufy,AKT8170,194644246754,Camera,Security Cameras,Eufy (Anker),Premium Consumer,New,5,899.99,,0.0,0.0,0,High-End ($500–$1.5K),6.803494,,24.0,10.0,0.7059,Medium Demand,21599.76,3.218876,9.980484,3.1623,Unknown,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,,1,3,55.78,Seller_11,Ontario,CA,United States,161,20,0.8895,0,30.0,91.8
2X Battery For Ring-Doorbell Video 2/3/3 Plus/4 Spotlight/Stick Up Peephole Cam,Unknown,,,Doorbell Camera,Security Cameras,Ring (Amazon),Generic/Unknown,New,5,27.99,,0.0,0.0,0,Value ($25–$75),3.366951,,289.0,10.0,0.9666,High Demand,8089.11,5.669881,8.998398,3.1623,Unknown,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,,1,0,62.57,Seller_158,,,,0,0,,0,74.0,79.7
JaiHo 14 Inch LCD Security CCTV Monitor Only Model:JH1257🛑🛑NOT TESTED,Jaiho,,,Cctv Monitor,Monitors/Displays,Other/Generic,Other Brand,Used,2,40.0,,0.0,0.0,0,Value ($25–$75),3.713572,,,,,No Sales Data,0.0,0.0,0.0,0.0,Unknown,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1,0,0.0,Seller_159,Rio Rico,AZ,United States,168,11,0.9385,0,,
eufy eufyCam C35 4Cam Kit Wireless Indoor/Outdoor Security Camera Magnetic Mount,Eufy,AKT8110,194644245672,Camera,Security Cameras,Eufy (Anker),Premium Consumer,New,5,199.96,349.99,42.87,150.03,1,Mid-Range ($75–$200),5.303106,,18.0,10.0,0.6429,Medium Demand,3599.28,2.944439,8.188767,3.1623,Unknown,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,,1,1,68.16,Seller_11,Ontario,CA,United States,143,44,0.7647,0,5.0,98.6
"NUUO NVRmini2 NE-2040 NVR 4-Channel, Two 1TB Seagate Hard Drives, 2 Drive Bays",Nuuo,,,NVR,Surveillance Dvrs & Nvrs,Other/Generic,Other Brand,Used,2,69.0,,0.0,0.0,0,Value ($25–$75),4.248495,17.25,,,,No Sales Data,0.0,0.0,0.0,0.0,Unknown,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,4.0,1,1,0.0,Seller_160,Houston,Texas,United States,1,28,0.0345,1,562.0,0.0
Voice Recorder  8GB,Unbranded/Generic,,,Voice Recorder,Surveillance Dvrs & Nvrs,Other/Generic,Other Brand,New,5,129.0,,0.0,0.0,0,Mid-Range ($75–$200),4.867534,,2.0,10.0,0.1667,Low Demand,258.0,1.098612,5.556828,3.1623,Unknown,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1,0,18.58,Seller_161,,,,0,0,,0,220.0,39.7
"1080P 360 Degree Indoor WiFi Home Security Camera, Night Vision, Cloud Storage",Gyration,,744390953460,Wifi Camera,Security Cameras,Other/Generic,Other Brand,New,5,19.0,,0.0,0.0,0,Budget (<$25),2.995732,,31.0,10.0,0.7561,Medium Demand,589.0,3.465736,6.380123,3.1623,1080P,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,,1,4,60.09,Seller_162,US,United States,United States,162,20,0.8901,0,2.0,99.5
8MP 20x Optical Zoom Night Vision POE IP PTZ Security Camera 2-Way Audio IR IP66,Jennov,P87HM85-30X-EAS,,Ptz,Security Cameras,Other/Generic,Other Brand,New,5,156.59,179.99,13.0,23.4,1,Mid-Range ($75–$200),5.059997,,4.0,10.0,0.2857,Low Demand,626.36,1.609438,6.441521,3.1623,8MP,1,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,,1,2,43.77,Seller_45,Grand Prairie,TX,United States,168,53,0.7602,0,19.0,94.8
Ring Spare Parts Kit for Spotlight Cam Pro Battery & Spotlight Cam Plus Battery,Ring,,,Other,Security Cameras,Ring (Amazon),Premium Consumer,New,5,9.99,,0.0,0.0,0,Budget (<$25),2.396986,,41.0,4.0,0.9111,Medium Demand,409.59,3.73767,6.017595,2.0,Unknown,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,,1,0,66.11,Seller_163,Glendale,California,United States,1,11,0.0833,1,4.0,98.9
5G & 2.4G WiFi  Security Camera 2K Wireless Home Camera Easy Install,Unknown,,,Camera,Security Cameras,Other/Generic,Generic/Unknown,New,5,8.99,,0.0,0.0,0,Budget (<$25),2.301585,,66.0,10.0,0.8684,Medium Demand,593.34,4.204693,6.387452,3.1623,2K/2MP,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1,1,60.87,Seller_164,South El Monte,California,United States,1,47,0.0208,1,47.0,87.1
Camara Espia Oculta Reloj Despertador Seguridad 1080P Detector Movimiento NUEVO,Unknown,,,Other,Surveillance Dvrs & Nvrs,Other/Generic,Generic/Unknown,New,5,45.59,,0.0,0.0,0,Value ($25–$75),3.841386,,19.0,10.0,0.6552,Medium Demand,866.21,2.995732,6.765281,3.1623,1080P,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1,0,56.06,Seller_165,Los Angeles,CA,United States,163,59,0.7342,0,2.0,99.5
HTZSAFE 800 Meters Long Range Wireless Driveway Alarm Outdoor Weather-Resistant,Htzsafe,,,Driveway Alarm,Sensors & Motion Detectors,Other/Generic,Other Brand,New,5,25.99,,0.0,0.0,0,Value ($25–$75),3.295466,,361.0,2.0,0.9945,High Demand,9382.39,5.891644,9.146696,1.4142,Unknown,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,,1,1,69.36,Seller_166,Houston,TX,United States,163,58,0.7376,0,5.0,98.6
Camara De Seguridad Solar Inalambricas Para Exterior Con Vision Nocturna y Audio,Unknown,,,Camera,Security Cameras,Other/Generic,Generic/Unknown,New,5,228.99,,0.0,0.0,0,Premium ($200–$500),5.438036,,6.0,10.0,0.375,Low Demand,1373.94,1.94591,7.226165,3.1623,Unknown,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,,1,1,41.31,Seller_167,Los Angeles,California,United States,2,220,0.009,0,45.0,87.7
Lorex Security Cameras C883DA Mixed-Grade (24 Total Cameras),Lorex,,,Camera,Security Cameras,Lorex,Prosumer,Used,2,149.0,,0.0,0.0,0,Mid-Range ($75–$200),5.010635,,4.0,1.0,0.8,Low Demand,596.0,1.609438,6.391917,1.0,Unknown,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1,0,59.69,Seller_168,Grand Rapids,MI,United States,161,19,0.8944,0,28.0,92.3
